_pos,__text
1,Aaliyah
2,Aariel
3,Aaron
4,Aba
5,Ababuo
6,Abagail
7,Abagbe
8,Abaigeal
9,Abana
10,Abastemi
11,Abayomi
12,Abbess
13,Abbey
14,Abbie
15,Abbigail
16,Abby
17,Abebi
18,Abegaila
19,Abeje
20,Abeke
21,Abelia
22,Abena
23,Abeni
24,Abeo
25,Abha
26,Abi
27,Abichayil
28,Abidemi
29,Abiela
30,Abigail
31,Abigale
32,Abigayil
33,Abigayle
34,Abihail
35,Abikanile
36,Abilene
37,Abimbola
38,Abiona
39,Abrial
40,Abril
41,Acacia
42,Acantha
43,Acenith
44,Achala
45,Achava
46,Achsah
47,Ada
48,Adah
49,Adalgisa
50,Adalina
51,Adaline
52,Adamma
53,Adara
54,Addie
55,Addiel
56,Addison
57,Addolorata
58,Addy
59,Adebola
60,Adedagbo
61,Adela
62,Adelaida
63,Adelaide
64,Adele
65,Adeleke
66,Adelia
67,Adelina
68,Adeline
69,Adell
70,Adella
71,Adelle
72,Adena
73,Adeola
74,Adesimbo
75,Adesina
76,Adhika
77,Adhita
78,Adia
79,Adiel
80,Adina
81,Adira
82,Adonia
83,Adora
84,Adorable
85,Adowa
86,Adria
87,Adrian
88,Adriana
89,Adriane
90,Adrianna
91,Adrianne
92,Adrien
93,Adriene
94,Adrienne
95,Adzo
96,Aegea
97,Aellessa
98,Aemilia
99,Aeola
100,Aerin
101,Aesha
102,Afafa
103,Afiya
104,Afryea
105,Afton
106,Afua
107,Agalia
108,Aganna
109,Agata
110,Agatha
111,Agathe
112,Ageneti
113,Aggie
114,Aghna
115,Agnella
116,Agnes
117,Agnus
118,Agripina
119,Agueda
120,Agustina
121,Ahalya
122,Ahavah
123,Ahilya
124,Ah-lam
125,Ahonui
126,Ahulani
127,Ahyana
128,Ai
129,Aida
130,Aide
131,Aideen
132,Aifric
133,Aigneis
134,Aika
135,Aikaterine
136,Aikiyo
137,Aiko
138,Aileen
139,Ailene
140,Ailianna
141,Ailis
142,Aimee
143,Aimiliona
144,Aina
145,Ainakea
146,Ainalani
147,Ainanani
148,Aine
149,Aingeal
150,Ainsley
151,Airina
152,Airlea
153,Airyn
154,Aisha
155,Aisse
156,Aiyana
157,Aiyetoro
158,Aja
159,Ajalaa
160,Ajeurai
161,Ajeya
162,Aka
163,Akahana
164,Akahele
165,Akairan
166,Akako
167,Akala
168,Akamai
169,Akanke
170,Akasuki
171,Akaula
172,Akeakamai
173,Akhila
174,Aki
175,Akiho
176,Akiko
177,Akilah
178,Akilina
179,Akira
180,Akosua
181,Akroma
182,Akua
183,Akwete
184,Akwokwo
185,Alaba
186,Alaina
187,Alaine
188,Alake
189,Alala
190,Alana
191,Alane
192,Alani
193,Alanis
194,Alanna
195,Alarik
196,Alastrina
197,Alastriona
198,Alaula
199,Alayna
200,Alba
201,Albert
202,Alberta
203,Albertha
204,Albertin
205,Albina
206,Alcinda
207,Alcyone
208,Alda
209,Aldora
210,Aleah
211,Alease
212,Alebeta
213,Alecia
214,Alecx
215,Aleen
216,Alei
217,Aleia
218,Aleida
219,Aleisha
220,Alejandr
221,Alekaneder
222,Alema
223,Alena
224,Alene
225,Alesa
226,Alesha
227,Aleshia
228,Alesia
229,Alessa
230,Alessand
231,Alessandra
232,Alessia
233,Aleta
234,Aletha
235,Alethea
236,Alethia
237,Aletia
238,Alex
239,Alexa
240,Alexande
241,Alexandr
242,Alexandra
243,Alexia
244,Alexiana
245,Alexine
246,Alexis
247,Alexus
248,Alexys
249,Alfreda
250,Alfredia
251,Ali
252,Alia
253,Aliandra
254,Alica
255,Alice
256,Alicia
257,Alida
258,Alile
259,Alina
260,Alinda
261,Aline
262,Alisa
263,Alise
264,Alisha
265,Alishia
266,Alisia
267,Alison
268,Alissa
269,Alister
270,Alita
271,Alitzah
272,Alivia
273,Alix
274,Aliya
275,Aliyah
276,Aliza
277,Alize
278,Alke
279,Alla
280,Alleen
281,Allegra
282,Allen
283,Allena
284,Allene
285,Allessia
286,Allie
287,Alline
288,Allison
289,Allster
290,Allure
291,Ally
292,Allyn
293,Allyson
294,Allyssa
295,Alma
296,Almeda
297,Almeta
298,Almira
299,Alohalani
300,Alohanani
301,Alohilani
302,Aloisia
303,Aloka
304,Alona
305,Alondra
306,Aloysius
307,Alpha
308,Alta
309,Altagrac
310,Altha
311,Althaia
312,Althea
313,Althena
314,Aluna
315,Alva
316,Alvena
317,Alvera
318,Alverta
319,Alvina
320,Alyce
321,Alycia
322,Alysa
323,Alyse
324,Alysen
325,Alysha
326,Alysia
327,Alyson
328,Alyssa
329,Alyx
330,Alzbeta
331,Alzira
332,Ama
333,Amada
334,Amadi
335,Amadika
336,Amaia
337,Amal
338,Amala
339,Amalia
340,Amana
341,Amanda
342,Amani
343,Amapola
344,Amara
345,Amarante
346,Amaranth
347,Amari
348,Amarjaa
349,Amaryllis
350,Amaya
351,Amber
352,Amberlee
353,Amberly
354,Ambika
355,Ambrosia
356,Ambrosina
357,Amee
358,Amelia
359,Amelie
360,Amelina
361,Amella
362,Amerika
363,Amerlyn
364,Amethyst
365,Ami
366,Amice
367,Amidah
368,Amie
369,Amiee
370,Amiela
371,Amilee
372,Amina
373,Aminah
374,Amira
375,Amisha
376,Amity
377,Ammie
378,Amoli
379,Amparo
380,Amrita
381,Amy
382,Amya
383,Amy-Sue
384,Ana
385,Anabel
386,Anabelle
387,Anacaona
388,Anadaria
389,Anahi
390,Anais
391,Anala
392,Analisa
393,Analise
394,AnaMaree
395,Anamaria
396,Anandie
397,Anastaci
398,Anastasi
399,Anastasia
400,Anastazie
401,Anatasia
402,Anatolia
403,Anatonia
404,Anaya
405,Andariel
406,Andela
407,Andera
408,Andie
409,Andra
410,Andre
411,Andrea
412,Andree
413,Andresia
414,Andrewa
415,Andria
416,Andriana
417,Andricla
418,Andrine
419,Andromac
420,Andromed
421,Andromeda
422,Andromede
423,Anela
424,Anelie
425,Anemone
426,Anesa
427,Anette
428,Anezka
429,Anganaa
430,Angel
431,Angela
432,Angele
433,Angelena
434,Angeles
435,Angelia
436,Angelic
437,Angelica
438,Angelika
439,Angeliki
440,Angelina
441,Angeline
442,Angeliqu
443,Angelique
444,Angelita
445,Angella
446,Angelo
447,Angelyn
448,Angie
449,Angila
450,Angiyous
451,Angla
452,Angle
453,Anglea
454,Angua
455,Angyalka
456,Anh
457,Ani
458,Aniana
459,Anika
460,Anike
461,Aniko
462,Anila
463,Anima
464,Anique
465,Anisa
466,Anisha
